OpeningTime,Open,High,Low,Close,Volume,CloseTime,RSI,MACD,MACDSIGNAL,MACDHIST,STOCHK,STOCHD
1662336300000,20028.65,20035.05,19935.56,19954.69,1736.99234,1662336599999,55.49,32.46,22.24,10.22,53.65,60.17
1662336600000,19955.01,19983.6,19953.8,19971.65,618.6028,1662336899999,57.89,31.28,24.05,7.23,40.53,53.67
1662336900000,19971.65,19973.07,19926.61,19929.79,1007.97276,1662337199999,50.63,26.65,24.57,2.09,16.08,36.75
1662337200000,19929.79,19942.95,19912.61,19915.65,1111.62683,1662337499999,48.42,21.60,23.97,-2.38,11.46,22.69
1662337500000,19916.54,19937.56,19906.01,19927.79,715.7592,1662337799999,50.42,18.36,22.85,-4.49,7.14,11.56
1662337800000,19926.44,19936.66,19905.02,19913.32,692.97236,1662338099999,48.03,14.46,21.17,-6.71,9.85,9.48
1662338100000,19912.36,19928.96,19905.83,19908.12,526.40848,1662338399999,47.17,10.83,19.10,-8.28,10.67,9.22
1662338400000,19908.12,19910.74,19878.02,19890.44,913.30589,1662338699999,44.25,6.44,16.57,-10.13,11.42,10.64
1662338700000,19891.37,19913.17,19888.68,19906.43,644.13966,1662338999999,47.42,4.21,14.10,-9.89,23.80,15.29
1662339000000,19906.43,19919.69,19895.27,19907.99,620.23164,1662339299999,47.73,2.54,11.79,-9.25,39.32,24.84
1662339300000,19907.84,19922.97,19905.57,19914.13,557.80444,1662339599999,49.01,1.69,9.77,-8.08,56.57,39.90
1662339600000,19914.13,19940.71,19911.35,19936.07,686.95194,1662339899999,53.42,2.76,8.37,-5.61,71.53,55.81
1662339900000,19936.07,19967.07,19933.73,19964.64,798.02631,1662340199999,58.45,5.84,7.86,-2.02,86.80,71.63
1662340200000,19964.62,19971.22,19946.45,19964.83,697.45123,1662340499999,58.48,8.20,7.93,0.27,93.70,84.01
1662340500000,19964.83,19968.82,19923.09,19927.12,913.12341,1662340799999,50.19,6.95,7.73,-0.78,73.77,84.75
1662340800000,19927.12,19934.0,19915.89,19922.7,659.06005,1662341099999,49.31,5.54,7.30,-1.75,47.79,71.75
1662341100000,19922.7,19922.82,19899.74,19909.75,682.40998,1662341399999,46.72,3.34,6.51,-3.16,21.93,47.83
1662341400000,19909.37,19915.0,19886.32,19904.14,743.46671,1662341699999,45.60,1.13,5.43,-4.30,17.98,29.23
1662341700000,19903.88,19908.44,19877.43,19884.93,718.46558,1662341999999,41.90,-2.15,3.92,-6.06,14.40,18.10
1662342000000,19884.93,19891.94,19863.16,19865.9,700.20891,1662342299999,38.56,-6.21,1.89,-8.10,11.02,14.47
1662342300000,19864.87,19885.82,19840.0,19843.78,937.29557,1662342599999,35.07,-11.08,-0.70,-10.38,5.55,10.32
1662342600000,19843.78,19861.22,19831.22,19835.07,831.4999,1662342899999,33.77,-15.47,-3.66,-11.81,4.34,6.97
